id,nnights,nadults,nchildren,planning,sex,age,education,income,region,shopping,antiquing,scenery,eatfine,eatcasual,eatfamstyle,eatfastfood,museums,indoorpool,outdoorpool,hiking,gambling,boatswim,fishing,golfing,boattours,rideducks,amusepark,minigolf,gocarting,waterpark,circusworld,tbskishow,helicopter,horseride,standrock,outattract,nearbyattract,movietheater,concerttheater,barpubdance,shopbroadway,bungeejumping
384,2,2,2,One Month or More Ago,Female,35-44,HS Grad or Less,Upper Income,Chicago,YES,NO,YES,YES,NO,YES,NO,NO,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,YES,NO
385,2,2,2,This Month,Female,25-34,Some College,Middle Income,Madison,YES,NO,NO,NO,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
386,4+,2,1,One Month or More Ago,Female,25-34,Some College,Middle Income,Other,YES,NO,YES,NO,YES,YES,NO,NO,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES,NO
387,0,3,5+,One Month or More Ago,Female,35-44,HS Grad or Less,,Madison,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
388,3,2,3,One Month or More Ago,Male,35-44,Some College,Lower Income,Chicago,YES,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO,YES,NO
389,0,1,2,One Month or More Ago,Male,35-44,Post Grad,Lower Income,Other,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
390,0,2,5+,This Week,Female,LT 25,College Grad,Lower Income,Other Wisconsin,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
391,0,2,No kids,This Week,Female,45-54,Post Grad,Lower Income,Madison,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO
392,2,2,1,This Month,Female,45-54,Some College,,Chicago,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO
393,2,2,No kids,This Month,Female,25-34,College Grad,Middle Income,Madison,YES,NO,NO,YES,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO
394,2,1,No kids,This Week,Male,25-34,Post Grad,Middle Income,Other,NO,NO,NO,YES,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO
395,2,2,2,One Month or More Ago,Male,35-44,Post Grad,Middle Income,Chicago,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO
396,2,2,5+,This Month,Female,LT 25,HS Grad or Less,,Chicago,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,YES,YES,NO,YES,YES,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,YES
397,4+,4,4,One Month or More Ago,Female,55-64,Some College,,Chicago,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES
398,1,2,1,This Week,Female,25-34,College Grad,Middle Income,Other,YES,NO,NO,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO
399,2,1,2,One Month or More Ago,Female,25-34,HS Grad or Less,Lower Income,Madison,YES,NO,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
400,2,2,5+,One Month or More Ago,Female,LT 25,HS Grad or Less,,Chicago,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES
401,3,2,2,One Month or More Ago,Female,35-44,Some College,Middle Income,Other Wisconsin,YES,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO
402,4+,1,1,One Month or More Ago,Female,LT 25,College Grad,Middle Income,Other,YES,NO,NO,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,NO,YES,NO,YES,YES,NO,YES,YES,YES,YES,NO,NO
403,0,3,3,This Month,Female,25-34,HS Grad or Less,Lower Income,Other,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
404,2,4,3,One Month or More Ago,Female,35-44,HS Grad or Less,Lower Income,Madison,YES,YES,NO,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,NO
405,3,2,2,One Month or More Ago,Male,45-54,Some College,Middle Income,Chicago,YES,NO,NO,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
406,0,1,2,This Week,Female,25-34,HS Grad or Less,Lower Income,Madison,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
407,2,2,No kids,One Month or More Ago,Female,55-64,HS Grad or Less,,Madison,YES,YES,YES,NO,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO
408,3,2,2,This Week,Female,35-44,HS Grad or Less,Lower Income,Other,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
409,4+,5+,5+,One Month or More Ago,Female,25-34,College Grad,,Other Wisconsin,YES,YES,NO,NO,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,NO,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,YES,NO
410,4+,2,No kids,One Month or More Ago,Male,25-34,College Grad,,Other,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,YES,NO,YES,YES,NO,YES,YES,NO,NO,YES,YES,YES,NO
411,1,3,No kids,This Month,Female,LT 25,Some College,Lower Income,Madison,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES
412,2,2,3,One Month or More Ago,Male,35-44,HS Grad or Less,Middle Income,Madison,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
413,1,2,No kids,This Month,Female,35-44,College Grad,Middle Income,Madison,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO
414,2,4,3,One Month or More Ago,Female,35-44,Some College,,Milwaukee,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO
415,0,4,3,One Month or More Ago,Female,35-44,Post Grad,,Other,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,NO,YES,NO,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES
416,4+,1,2,One Month or More Ago,Male,35-44,Some College,Lower Income,Milwaukee,NO,NO,YES,YES,NO,YES,NO,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,NO,YES,NO,NO
417,4+,1,1,One Month or More Ago,Male,45-54,Some College,Middle Income,Milwaukee,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,NO,YES,YES,YES,NO
418,0,2,1,This Week,Female,35-44,HS Grad or Less,Lower Income,Madison,YES,NO,YES,YES,NO,NO,NO,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
419,4+,1,2,This Month,Male,45-54,HS Grad or Less,Middle Income,Chicago,NO,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO
420,4+,5+,5+,This Week,Female,35-44,College Grad,Lower Income,,YES,NO,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,YES,YES,NO,NO
421,2,4,5+,This Month,Male,25-34,HS Grad or Less,,Chicago,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO
422,2,2,3,This Week,Female,25-34,College Grad,Lower Income,Other,YES,NO,YES,YES,YES,YES,NO,YES,NO,YES,NO,YES,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,NO,YES,NO
423,0,2,1,This Month,Female,35-44,HS Grad or Less,,Other Wisconsin,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,YES,YES,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO
424,4+,2,3,This Month,Male,LT 25,HS Grad or Less,,Milwaukee,YES,NO,YES,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES
425,4+,2,No kids,One Month or More Ago,Female,35-44,Some College,Lower Income,Chicago,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO
426,0,2,No kids,This Week,Male,65+,Some College,Lower Income,Madison,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO
427,3,2,No kids,This Week,Female,45-54,College Grad,Middle Income,Chicago,YES,YES,NO,YES,YES,NO,NO,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
428,2,5+,3,This Month,Female,35-44,HS Grad or Less,,Milwaukee,YES,NO,YES,NO,NO,YES,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
429,0,3,2,This Week,Female,35-44,Post Grad,Middle Income,Other Wisconsin,YES,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,YES,NO,YES,NO
430,3,2,2,This Month,Female,45-54,Some College,Middle Income,Milwaukee,NO,NO,YES,YES,NO,NO,NO,YES,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO
431,0,2,3,This Week,Female,35-44,HS Grad or Less,Lower Income,Madison,NO,NO,YES,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO
432,0,2,No kids,This Week,Female,35-44,Post Grad,Lower Income,Milwaukee,YES,NO,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,YES,YES,NO
433,1,3,No kids,One Month or More Ago,Male,25-34,Post Grad,Middle Income,Chicago,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO
434,3,3,2,One Month or More Ago,Female,LT 25,College Grad,Lower Income,,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO
435,2,2,2,One Month or More Ago,Male,35-44,HS Grad or Less,Middle Income,Other Wisconsin,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
436,2,3,2,This Week,Female,25-34,College Grad,Lower Income,Madison,YES,NO,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO
437,0,2,3,This Week,Male,45-54,College Grad,Lower Income,Madison,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
438,0,1,2,This Week,Female,35-44,Post Grad,Middle Income,Other Wisconsin,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
439,0,2,2,This Week,Female,35-44,College Grad,Lower Income,Other Wisconsin,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
440,2,2,2,This Month,Female,35-44,HS Grad or Less,Lower Income,Madison,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO
441,3,2,2,This Week,Female,35-44,HS Grad or Less,Lower Income,Milwaukee,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO
442,0,2,5+,This Week,Female,LT 25,College Grad,Lower Income,Madison,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
443,2,3,2,This Week,Female,25-34,,Lower Income,Chicago,NO,NO,YES,NO,YES,NO,YES,NO,YES,YES,NO,NO,YES,NO,YES,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
444,2,2,2,This Week,Male,35-44,College Grad,Middle Income,Chicago,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO
445,4+,2,2,One Month or More Ago,Female,35-44,Post Grad,Middle Income,Chicago,NO,NO,NO,NO,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO
446,2,4,4,One Month or More Ago,Female,35-44,College Grad,Middle Income,Milwaukee,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,YES,NO,NO,NO,YES,NO
447,1,2,2,One Month or More Ago,Male,35-44,Some College,Lower Income,Other,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,YES
448,2,2,2,This Month,Male,35-44,HS Grad or Less,,Chicago,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO
449,4+,2,3,One Month or More Ago,Female,35-44,College Grad,Lower Income,Chicago,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO
450,0,1,4,This Week,Female,35-44,HS Grad or Less,Lower Income,Madison,YES,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO
451,4+,2,3,One Month or More Ago,Female,25-34,Some College,Lower Income,Chicago,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
452,1,2,2,This Week,Female,25-34,HS Grad or Less,Lower Income,Other Wisconsin,YES,NO,YES,NO,YES,YES,NO,NO,YES,YES,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
453,2,2,4,One Month or More Ago,Female,35-44,Some College,Lower Income,,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO
454,3,2,3,This Week,Male,25-34,College Grad,Middle Income,Other,YES,NO,NO,YES,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
455,1,2,2,One Month or More Ago,Male,35-44,College Grad,Upper Income,Minneapolis/StPaul,NO,NO,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
456,1,2,2,One Month or More Ago,Female,65+,Post Grad,Middle Income,Other Wisconsin,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO
457,3,2,3,One Month or More Ago,Male,25-34,HS Grad or Less,,Chicago,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO
458,2,2,2,One Month or More Ago,Male,25-34,HS Grad or Less,Lower Income,Other Wisconsin,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,NO
459,3,2,3,One Month or More Ago,Male,35-44,Post Grad,Middle Income,Chicago,YES,NO,NO,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO
460,3,2,2,One Month or More Ago,Male,25-34,Some College,Lower Income,Chicago,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,YES,YES,NO,NO,YES,YES,YES
461,1,2,2,This Week,Female,45-54,HS Grad or Less,Lower Income,Other Wisconsin,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO
462,1,5+,4,One Month or More Ago,Female,25-34,Post Grad,Lower Income,Chicago,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO
463,1,2,2,This Week,Female,25-34,College Grad,Middle Income,Minneapolis/StPaul,NO,NO,YES,NO,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
464,2,4,4,One Month or More Ago,Female,25-34,College Grad,Upper Income,Chicago,NO,NO,YES,NO,YES,YES,NO,NO,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO
465,2,2,No kids,One Month or More Ago,Female,65+,HS Grad or Less,Lower Income,Other Wisconsin,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
466,0,2,No kids,This Week,Male,65+,HS Grad or Less,,Milwaukee,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
467,2,3,2,One Month or More Ago,Female,55-64,College Grad,Middle Income,Milwaukee,YES,NO,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO
468,4+,2,3,One Month or More Ago,Female,55-64,HS Grad or Less,Middle Income,Chicago,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,NO,YES,NO
469,3,2,3,One Month or More Ago,Female,35-44,Some College,Middle Income,Chicago,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO
470,4+,2,No kids,One Month or More Ago,Female,55-64,HS Grad or Less,Lower Income,Other,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO
471,3,2,2,One Month or More Ago,Male,35-44,Some College,Middle Income,Chicago,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,NO
472,4+,2,2,One Month or More Ago,Female,45-54,College Grad,Lower Income,Other Wisconsin,NO,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
473,3,2,4,One Month or More Ago,Male,35-44,College Grad,Middle Income,Other,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO
474,2,4,3,One Month or More Ago,Female,45-54,Some College,Middle Income,Chicago,YES,NO,YES,YES,NO,YES,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
475,3,2,3,One Month or More Ago,Female,25-34,College Grad,Middle Income,Other,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,NO,YES,YES,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
476,3,3,1,This Month,Female,35-44,HS Grad or Less,Lower Income,Other,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO
477,3,2,3,One Month or More Ago,Female,25-34,HS Grad or Less,Lower Income,Milwaukee,YES,NO,YES,NO,YES,YES,NO,YES,YES,YES,NO,NO,YES,YES,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO
478,3,5+,3,One Month or More Ago,Male,45-54,HS Grad or Less,Lower Income,Chicago,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO
479,2,2,3,One Month or More Ago,Male,35-44,Post Grad,,Other,NO,NO,YES,NO,NO,YES,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
480,2,2,3,One Month or More Ago,Female,25-34,HS Grad or Less,Lower Income,Other Wisconsin,YES,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
481,2,2,1,One Month or More Ago,Male,25-34,HS Grad or Less,Middle Income,Chicago,YES,NO,NO,NO,YES,YES,NO,NO,YES,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES
482,2,2,2,This Month,Female,25-34,Some College,Lower Income,Chicago,YES,YES,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO
