pick,income,moves,age,education,employment,usage,nonpub,reachout,card
ATT,45-75,3,35-44,Coll,F,64,YES,YES,YES
ATT,35-45,1,55-64,Coll,F,2,NO,NO,NO
ATT,25-35,2,35-44,>BA,F,13,NO,NO,YES
ATT,,0,45-54,HS,F,33,NO,NO,YES
ATT,7.5-15,0,35-44,<HS,D,116,NO,NO,NO
ATT,,0,65+,>BA,R,13,NO,NO,NO
OCC,>75,0,45-54,Voc,F,16,NO,NO,NO
OCC,,0,45-54,<HS,H,26,NO,NO,NO
OCC,7.5-15,>10,25-34,HS,F,14,YES,NO,YES
OCC,>75,0,55-64,>BA,F,22,NO,NO,NO
ATT,25-35,1,35-44,BA,F,25,NO,NO,NO
OCC,7.5-15,3,18-24,Coll,F,62,NO,NO,NO
OCC,7.5-15,0,65+,<HS,R,2,NO,NO,NO
OCC,>75,0,35-44,BA,F,74,NO,YES,YES
ATT,25-35,1,25-34,Voc,F,15,NO,NO,NO
ATT,<7.5,0,65+,HS,R,16,NO,NO,YES
OCC,25-35,6,35-44,BA,F,42,NO,YES,NO
ATT,15-25,1,65+,Coll,R,0,NO,NO,NO
ATT,45-75,0,45-54,BA,F,56,NO,YES,YES
ATT,7.5-15,0,45-54,HS,F,33,YES,NO,NO
OCC,35-45,0,35-44,BA,F,9,NO,NO,YES
OCC,,0,55-64,<HS,R,1,NO,NO,NO
OCC,25-35,0,25-34,HS,F,1,NO,NO,NO
ATT,<7.5,0,65+,HS,R,6,NO,NO,NO
OCC,,0,65+,Coll,R,2,NO,NO,YES
OCC,15-25,1,18-24,HS,F,7,YES,,
ATT,15-25,0,65+,BA,R,19,NO,NO,YES
ATT,,0,55-64,Coll,F,19,NO,NO,YES
ATT,15-25,1,35-44,Coll,F,42,NO,NO,YES
ATT,15-25,1,45-54,HS,F,41,NO,NO,NO
ATT,<7.5,0,65+,<HS,R,14,NO,NO,NO
ATT,<7.5,0,65+,<HS,R,0,NO,NO,NO
ATT,,1,55-64,>BA,F,3,NO,NO,NO
OCC,25-35,0,35-44,Voc,F,0,NO,NO,NO
ATT,45-75,0,45-54,>BA,F,37,NO,NO,NO
OCC,15-25,2,25-34,>BA,H,17,NO,NO,YES
ATT,,0,65+,,H,85,NO,YES,NO
ATT,7.5-15,1,55-64,<HS,F,0,YES,NO,NO
ATT,25-35,0,35-44,HS,F,1,NO,NO,NO
ATT,<7.5,0,25-34,<HS,H,50,YES,NO,YES
OCC,,0,35-44,BA,H,4,NO,NO,NO
ATT,<7.5,2,25-34,HS,F,20,NO,NO,NO
OCC,25-35,0,35-44,Coll,F,0,NO,NO,NO
ATT,45-75,0,35-44,Coll,F,0,NO,NO,NO
ATT,35-45,1,25-34,Coll,F,2,NO,NO,NO
ATT,35-45,0,45-54,Voc,F,36,NO,NO,NO
OCC,7.5-15,6,25-34,Coll,U,2,NO,NO,NO
ATT,>75,0,55-64,BA,H,53,NO,NO,YES
ATT,<7.5,0,55-64,HS,F,6,NO,NO,NO
ATT,35-45,5,25-34,BA,F,24,NO,NO,NO
OCC,,0,35-44,HS,,1,NO,NO,NO
ATT,<7.5,0,55-64,HS,R,3,NO,NO,NO
ATT,15-25,4,25-34,BA,F,0,NO,NO,NO
ATT,35-45,1,25-34,HS,F,1,YES,NO,NO
OCC,15-25,1,25-34,HS,H,0,NO,NO,NO
ATT,,1,25-34,Coll,F,1,NO,NO,YES
ATT,15-25,0,35-44,HS,F,105,YES,NO,NO
ATT,,0,35-44,<HS,H,3,YES,NO,YES
ATT,25-35,0,18-24,Coll,S,54,NO,NO,YES
OCC,45-75,0,35-44,BA,H,42,NO,NO,YES
ATT,15-25,0,25-34,HS,F,26,NO,YES,NO
ATT,45-75,1,35-44,Coll,P,55,NO,NO,NO
ATT,35-45,3,25-34,HS,P,28,YES,NO,NO
ATT,,4,65+,>BA,R,11,NO,NO,NO
ATT,,1,55-64,BA,P,5,NO,NO,NO
ATT,,0,65+,BA,H,2,NO,NO,YES
ATT,35-45,2,55-64,HS,R,24,NO,YES,YES
ATT,,1,,,,33,NO,NO,NO
OCC,7.5-15,1,55-64,HS,S,3,NO,NO,YES
OCC,<7.5,0,45-54,BA,F,2,NO,NO,NO
ATT,,2,45-54,HS,H,10,NO,NO,NO
ATT,,0,55-64,HS,R,11,NO,NO,NO
OCC,7.5-15,0,55-64,HS,P,10,NO,NO,YES
ATT,,0,65+,Coll,R,8,NO,NO,YES
OCC,35-45,0,45-54,Voc,F,4,NO,NO,NO
OCC,,2,65+,Coll,R,6,NO,NO,NO
OCC,,,,,,54,NO,NO,NO
ATT,15-25,0,45-54,Coll,H,15,NO,NO,NO
ATT,45-75,1,65+,>BA,R,20,NO,NO,NO
OCC,45-75,0,45-54,BA,F,8,NO,NO,NO
ATT,45-75,1,55-64,BA,H,40,NO,YES,NO
ATT,,1,65+,Coll,R,73,NO,YES,YES
OCC,25-35,3,35-44,BA,F,58,NO,NO,NO
ATT,45-75,2,35-44,BA,P,12,NO,NO,NO
ATT,35-45,1,25-34,HS,F,44,YES,NO,YES
ATT,,,,,,0,NO,NO,YES
OCC,35-45,2,35-44,>BA,F,37,YES,NO,NO
OCC,45-75,1,65+,>BA,R,12,NO,NO,YES
ATT,<7.5,2,25-34,Voc,P,4,NO,NO,YES
ATT,25-35,0,35-44,HS,F,36,YES,NO,NO
ATT,35-45,2,35-44,BA,F,14,NO,NO,NO
ATT,,1,,BA,R,25,NO,YES,NO
ATT,7.5-15,2,35-44,HS,F,24,YES,YES,NO
ATT,15-25,3,18-24,Coll,F,1,YES,NO,NO
ATT,15-25,0,65+,HS,R,23,NO,NO,NO
OCC,25-35,2,18-24,BA,F,35,NO,NO,NO
ATT,35-45,1,25-34,BA,F,47,YES,NO,NO
OCC,,0,65+,<HS,D,1,NO,NO,NO
ATT,7.5-15,5,25-34,Coll,P,25,NO,NO,NO
ATT,7.5-15,6,25-34,Coll,F,13,NO,NO,NO
OCC,>75,1,35-44,Coll,F,3,NO,NO,YES
ATT,,0,65+,BA,R,4,NO,NO,NO
ATT,15-25,4,18-24,BA,F,0,NO,NO,NO
ATT,35-45,0,35-44,<HS,F,31,YES,NO,NO
ATT,35-45,0,55-64,Coll,F,23,NO,YES,YES
OCC,15-25,0,55-64,HS,F,5,NO,NO,NO
ATT,,1,65+,>BA,R,6,NO,NO,NO
OCC,25-35,0,25-34,HS,F,8,NO,NO,NO
ATT,25-35,5,25-34,BA,F,15,NO,NO,YES
OCC,,0,,,F,12,NO,NO,YES
ATT,>75,0,65+,Coll,R,8,NO,NO,NO
OCC,,0,55-64,,,0,NO,NO,NO
ATT,,1,65+,BA,R,3,NO,NO,YES
OCC,>75,0,25-34,Coll,P,6,NO,NO,NO
ATT,,0,55-64,>BA,R,47,NO,NO,YES
OCC,>75,0,45-54,BA,P,42,NO,NO,YES
ATT,35-45,1,55-64,Coll,R,19,NO,NO,NO
ATT,45-75,0,55-64,BA,R,45,NO,NO,YES
OCC,25-35,2,55-64,Voc,D,40,NO,NO,NO
ATT,,1,45-54,BA,F,29,NO,NO,NO
OCC,,0,,,,16,NO,NO,YES
ATT,,0,,>BA,R,2,NO,NO,NO
ATT,35-45,0,45-54,>BA,F,58,NO,NO,NO
ATT,,0,65+,Coll,R,18,NO,NO,YES
ATT,>75,0,65+,BA,R,29,NO,NO,NO
ATT,<7.5,0,18-24,HS,F,102,NO,YES,NO
ATT,45-75,0,45-54,Coll,F,56,NO,NO,NO
OCC,7.5-15,0,65+,Coll,R,3,NO,NO,NO
ATT,15-25,0,55-64,BA,R,28,NO,YES,YES
ATT,15-25,0,65+,Coll,R,2,NO,NO,YES
OCC,15-25,1,18-24,Coll,F,12,NO,NO,NO
ATT,35-45,0,45-54,BA,F,14,NO,NO,YES
ATT,25-35,3,18-24,Coll,F,30,NO,NO,NO
ATT,45-75,0,65+,HS,R,49,NO,YES,YES
ATT,>75,0,35-44,>BA,F,77,NO,YES,YES
ATT,35-45,0,35-44,BA,F,58,NO,NO,NO
ATT,15-25,0,65+,>BA,R,3,NO,NO,YES
OCC,,3,45-54,BA,F,156,NO,NO,NO
OCC,15-25,1,18-24,Voc,F,17,NO,NO,YES
ATT,45-75,0,45-54,HS,F,54,NO,NO,NO
ATT,,0,25-34,BA,F,21,YES,NO,YES
OCC,25-35,0,55-64,Coll,F,35,NO,NO,NO
OCC,15-25,0,55-64,HS,F,8,NO,NO,YES
ATT,35-45,0,45-54,BA,F,44,NO,YES,NO
OCC,,1,25-34,BA,F,34,NO,NO,NO
ATT,25-35,0,45-54,HS,F,8,NO,NO,NO
ATT,15-25,5,25-34,Coll,F,50,NO,NO,NO
ATT,25-35,0,45-54,HS,F,5,YES,NO,NO
ATT,35-45,3,25-34,BA,F,9,YES,NO,YES
OCC,15-25,0,45-54,Coll,F,27,NO,NO,NO
OCC,7.5-15,1,45-54,Coll,F,0,NO,NO,NO
OCC,45-75,1,65+,HS,R,25,NO,NO,NO
OCC,<7.5,0,65+,,R,8,NO,NO,NO
ATT,15-25,0,25-34,<HS,H,35,NO,NO,YES
ATT,25-35,1,25-34,>BA,P,31,NO,YES,YES
ATT,35-45,0,35-44,HS,F,33,NO,YES,YES
ATT,15-25,3,25-34,HS,F,25,NO,NO,NO
ATT,<7.5,0,25-34,HS,F,11,NO,NO,NO
ATT,7.5-15,2,18-24,HS,H,54,NO,NO,NO
OCC,15-25,2,25-34,Coll,P,9,NO,NO,NO
ATT,<7.5,5,35-44,HS,H,20,NO,NO,NO
OCC,15-25,1,25-34,HS,F,5,NO,NO,NO
OCC,25-35,4,25-34,Coll,F,7,NO,NO,NO
OCC,25-35,0,25-34,HS,F,9,NO,NO,NO
OCC,35-45,1,55-64,Coll,F,31,NO,NO,NO
ATT,35-45,1,35-44,HS,F,37,NO,NO,YES
ATT,25-35,0,25-34,Coll,F,5,YES,NO,YES
ATT,35-45,3,45-54,Coll,F,11,YES,NO,NO
ATT,,1,,Coll,P,9,NO,NO,NO
OCC,25-35,3,25-34,Voc,F,32,NO,,
OCC,15-25,1,18-24,<HS,F,0,NO,NO,NO
ATT,25-35,0,25-34,Voc,F,19,NO,NO,YES
OCC,<7.5,0,45-54,HS,F,29,NO,NO,NO
ATT,7.5-15,1,25-34,HS,U,0,NO,NO,NO
OCC,15-25,0,45-54,HS,F,0,NO,NO,NO
OCC,25-35,0,45-54,BA,H,3,NO,NO,YES
ATT,45-75,0,45-54,Coll,F,61,NO,YES,NO
ATT,,0,65+,Coll,F,8,NO,NO,YES
ATT,15-25,3,25-34,Coll,F,15,NO,NO,NO
OCC,25-35,0,45-54,HS,F,74,NO,NO,YES
OCC,45-75,0,65+,HS,F,0,NO,NO,NO
ATT,25-35,0,45-54,Voc,F,122,NO,NO,YES
OCC,35-45,0,45-54,BA,F,10,NO,NO,NO
OCC,15-25,0,35-44,Coll,H,25,NO,NO,NO
OCC,,1,35-44,HS,H,11,NO,NO,YES
OCC,25-35,0,65+,HS,R,106,NO,NO,NO
OCC,45-75,0,35-44,Coll,F,5,NO,NO,YES
OCC,35-45,0,55-64,BA,R,0,,NO,NO
ATT,25-35,0,65+,Coll,R,1,NO,NO,NO
ATT,45-75,1,25-34,BA,F,22,NO,NO,YES
ATT,<7.5,2,45-54,HS,F,37,NO,NO,NO
ATT,25-35,2,35-44,BA,F,16,NO,NO,NO
OCC,<7.5,1,65+,HS,R,1,NO,NO,YES
OCC,<7.5,1,35-44,<HS,P,0,NO,NO,NO
OCC,7.5-15,0,55-64,Voc,F,41,NO,NO,NO
OCC,>75,0,45-54,HS,F,33,NO,YES,NO
OCC,35-45,1,45-54,BA,F,12,NO,NO,YES
ATT,25-35,0,45-54,<HS,F,24,NO,NO,NO
OCC,35-45,0,35-44,BA,H,1,NO,NO,NO
ATT,25-35,1,25-34,Coll,F,34,NO,NO,YES
OCC,45-75,0,35-44,HS,F,0,NO,NO,YES
ATT,>75,0,45-54,>BA,F,2,NO,NO,NO
OCC,15-25,1,25-34,Voc,F,1,NO,NO,YES
OCC,<7.5,2,18-24,HS,F,0,NO,NO,NO
OCC,25-35,0,35-44,Voc,F,3,NO,NO,YES
OCC,>75,0,55-64,BA,F,14,NO,NO,NO
OCC,>75,0,25-34,HS,F,5,NO,NO,NO
ATT,,0,65+,<HS,H,49,NO,YES,YES
ATT,35-45,0,35-44,Coll,H,7,NO,NO,NO
OCC,7.5-15,1,65+,HS,R,24,NO,NO,NO
ATT,<7.5,1,65+,HS,R,6,NO,NO,NO
OCC,25-35,0,45-54,<HS,F,7,NO,NO,NO
ATT,45-75,3,45-54,BA,F,72,NO,NO,NO
ATT,,2,45-54,HS,H,291,NO,NO,NO
OCC,<7.5,1,55-64,<HS,F,0,YES,NO,NO
OCC,15-25,0,25-34,HS,F,3,NO,NO,YES
ATT,45-75,0,45-54,HS,F,27,NO,NO,NO
OCC,<7.5,0,65+,<HS,R,0,NO,NO,NO
ATT,45-75,0,35-44,>BA,F,25,NO,YES,NO
ATT,15-25,0,35-44,BA,F,20,NO,NO,NO
OCC,,0,65+,<HS,R,0,NO,NO,NO
ATT,15-25,1,55-64,HS,P,33,NO,NO,YES
OCC,15-25,0,65+,HS,R,1,NO,NO,NO
ATT,25-35,0,45-54,HS,F,25,NO,NO,NO
OCC,<7.5,0,55-64,HS,F,11,NO,NO,NO
OCC,,0,65+,<HS,H,2,NO,NO,NO
ATT,15-25,0,35-44,BA,F,67,NO,NO,YES
OCC,7.5-15,0,35-44,<HS,F,4,YES,NO,NO
ATT,15-25,2,25-34,Coll,S,38,NO,NO,YES
ATT,35-45,0,35-44,HS,F,2,NO,NO,YES
ATT,35-45,0,65+,BA,R,1,NO,NO,NO
OCC,,0,45-54,Coll,F,14,NO,NO,NO
ATT,25-35,1,25-34,HS,F,2,NO,NO,NO
ATT,25-35,1,35-44,<HS,F,5,NO,NO,NO
ATT,45-75,0,35-44,>BA,F,2,NO,NO,NO
OCC,45-75,0,35-44,Coll,F,5,NO,NO,NO
ATT,7.5-15,1,45-54,HS,F,6,NO,NO,YES
ATT,35-45,2,25-34,HS,F,45,NO,NO,YES
OCC,15-25,0,45-54,HS,F,18,NO,NO,NO
OCC,45-75,0,45-54,Coll,R,49,NO,NO,NO
OCC,45-75,0,45-54,>BA,F,23,NO,NO,YES
ATT,45-75,0,35-44,BA,F,15,NO,NO,NO
ATT,15-25,0,35-44,HS,H,44,NO,NO,NO
ATT,35-45,0,25-34,BA,F,56,NO,NO,YES
ATT,15-25,0,25-34,>BA,F,31,NO,NO,YES
OCC,45-75,0,35-44,BA,F,21,NO,NO,YES
OCC,,1,35-44,>BA,F,5,NO,NO,NO
OCC,15-25,7,18-24,HS,F,21,NO,NO,NO
OCC,35-45,0,55-64,Coll,F,11,NO,NO,NO
ATT,15-25,0,35-44,HS,F,7,NO,NO,NO
ATT,7.5-15,0,55-64,HS,F,23,NO,YES,YES
ATT,>75,1,45-54,BA,F,19,NO,NO,YES
OCC,7.5-15,1,55-64,<HS,F,2,YES,NO,YES
OCC,,2,25-34,Coll,F,37,NO,NO,NO
ATT,35-45,1,25-34,>BA,F,40,NO,NO,YES
ATT,25-35,1,45-54,BA,F,41,NO,NO,YES
ATT,15-25,2,35-44,BA,F,61,NO,NO,YES
ATT,<7.5,0,55-64,HS,R,13,NO,NO,NO
OCC,7.5-15,1,25-34,<HS,F,2,NO,NO,NO
OCC,<7.5,1,65+,HS,R,3,NO,NO,NO
ATT,>75,0,35-44,HS,F,3,NO,NO,NO
OCC,35-45,0,35-44,HS,F,10,NO,NO,NO
ATT,,0,35-44,Coll,H,41,NO,NO,YES
ATT,35-45,2,45-54,Voc,F,12,NO,NO,NO
ATT,35-45,0,45-54,Coll,F,134,NO,NO,YES
OCC,45-75,0,55-64,BA,P,22,NO,NO,YES
ATT,35-45,0,25-34,HS,P,35,NO,NO,YES
ATT,25-35,0,55-64,HS,H,40,NO,,YES
OCC,15-25,0,35-44,HS,H,2,NO,NO,NO
OCC,35-45,0,55-64,HS,H,66,NO,YES,NO
ATT,7.5-15,0,18-24,HS,U,9,NO,NO,NO
OCC,,1,55-64,Coll,F,43,NO,NO,NO
OCC,15-25,0,35-44,BA,F,17,NO,NO,NO
OCC,,0,65+,HS,R,4,NO,NO,NO
ATT,15-25,0,35-44,HS,F,57,NO,YES,NO
ATT,15-25,0,55-64,<HS,F,68,NO,NO,NO
ATT,15-25,1,18-24,Coll,H,2,YES,NO,NO
OCC,15-25,0,45-54,HS,F,22,NO,NO,YES
ATT,25-35,0,45-54,>BA,F,85,NO,YES,YES
ATT,,1,55-64,HS,H,11,NO,YES,NO
OCC,7.5-15,0,45-54,HS,F,44,NO,NO,NO
OCC,,0,35-44,Voc,F,74,NO,NO,NO
ATT,45-75,0,35-44,Coll,F,50,NO,NO,YES
OCC,15-25,0,45-54,<HS,F,1,NO,NO,NO
ATT,,0,65+,HS,R,6,NO,NO,NO
OCC,,0,55-64,HS,R,21,NO,NO,NO
ATT,25-35,0,25-34,HS,F,50,NO,NO,NO
ATT,15-25,2,55-64,HS,P,22,NO,NO,YES
ATT,,0,35-44,HS,P,44,NO,NO,YES
OCC,15-25,1,25-34,<HS,F,2,NO,,
OCC,>75,0,55-64,BA,P,34,NO,YES,NO
ATT,7.5-15,0,55-64,<HS,P,4,NO,NO,NO
ATT,<7.5,1,55-64,HS,R,15,NO,NO,NO
OCC,35-45,0,55-64,<HS,F,8,NO,NO,YES
ATT,25-35,3,35-44,BA,F,19,NO,NO,YES
OCC,<7.5,0,65+,HS,R,0,NO,NO,NO
OCC,,1,65+,<HS,H,2,NO,NO,NO
ATT,<7.5,0,55-64,Coll,P,3,NO,NO,NO
OCC,25-35,0,55-64,HS,F,14,NO,NO,YES
ATT,25-35,1,25-34,BA,H,11,NO,YES,YES
OCC,25-35,0,35-44,Voc,P,64,NO,YES,NO
OCC,35-45,0,45-54,>BA,F,13,NO,NO,NO
ATT,45-75,0,55-64,HS,H,30,NO,YES,YES
OCC,35-45,0,45-54,Coll,F,12,NO,NO,NO
ATT,45-75,3,45-54,BA,F,49,NO,NO,YES
OCC,25-35,1,25-34,BA,F,15,NO,NO,YES
OCC,35-45,0,45-54,Coll,F,14,NO,NO,YES
ATT,25-35,0,25-34,HS,H,2,NO,NO,NO
ATT,35-45,5,25-34,Coll,F,30,NO,NO,YES
OCC,,,,,,3,NO,NO,NO
ATT,45-75,0,55-64,BA,F,106,NO,NO,NO
ATT,,0,65+,HS,R,26,NO,NO,NO
OCC,25-35,0,45-54,HS,H,1,NO,NO,NO
OCC,25-35,1,35-44,HS,H,33,NO,NO,NO
ATT,>75,0,65+,BA,R,40,NO,NO,YES
ATT,15-25,0,65+,HS,F,3,NO,NO,NO
OCC,,0,55-64,HS,F,2,NO,NO,NO
OCC,25-35,2,25-34,Coll,F,38,NO,NO,NO
ATT,<7.5,0,65+,<HS,R,2,NO,NO,YES
ATT,,0,55-64,>BA,H,43,NO,NO,YES
ATT,25-35,0,45-54,HS,H,9,NO,NO,NO
ATT,<7.5,0,65+,<HS,R,4,NO,NO,NO
ATT,>75,0,55-64,BA,R,41,NO,YES,YES
OCC,,1,25-34,>BA,F,37,NO,NO,YES
OCC,,,,,,58,NO,NO,NO
ATT,25-35,2,25-34,>BA,F,24,NO,NO,YES
OCC,<7.5,0,45-54,<HS,F,0,NO,NO,NO
ATT,7.5-15,0,65+,HS,H,17,NO,NO,NO
ATT,15-25,3,25-34,>BA,F,25,NO,NO,NO
ATT,15-25,0,55-64,<HS,H,6,NO,NO,NO
ATT,45-75,2,45-54,Coll,F,25,NO,NO,YES
OCC,,0,35-44,HS,F,16,NO,NO,YES
ATT,7.5-15,0,55-64,HS,R,44,NO,NO,NO
ATT,,,,,,71,NO,NO,NO
OCC,35-45,3,25-34,Coll,F,49,NO,NO,YES
OCC,,,35-44,<HS,F,0,NO,NO,NO
ATT,15-25,0,18-24,HS,F,4,YES,NO,NO
ATT,<7.5,0,35-44,<HS,F,37,NO,NO,NO
ATT,,0,65+,<HS,R,70,NO,NO,NO
OCC,,0,45-54,<HS,F,71,NO,YES,NO
ATT,,0,45-54,BA,F,10,NO,NO,YES
OCC,15-25,0,45-54,<HS,F,0,YES,NO,NO
OCC,>75,1,25-34,<HS,F,5,YES,NO,NO
OCC,45-75,1,45-54,HS,F,3,NO,NO,NO
ATT,35-45,2,18-24,BA,F,63,NO,NO,YES
ATT,45-75,0,35-44,>BA,S,19,YES,NO,NO
ATT,45-75,0,65+,BA,H,51,NO,YES,YES
ATT,,1,65+,BA,R,11,NO,NO,YES
ATT,,,,,,26,NO,NO,YES
OCC,25-35,0,35-44,HS,F,1,NO,NO,NO
OCC,15-25,1,35-44,>BA,F,5,NO,NO,NO
ATT,35-45,0,35-44,Coll,F,9,NO,NO,YES
OCC,,0,55-64,Coll,R,4,NO,NO,NO
ATT,,0,55-64,HS,F,31,NO,NO,YES
OCC,15-25,0,65+,BA,R,2,NO,NO,YES
ATT,25-35,1,55-64,Coll,R,23,NO,NO,YES
ATT,<7.5,7,18-24,HS,F,19,NO,NO,NO
ATT,25-35,0,45-54,BA,F,69,NO,NO,YES
ATT,45-75,0,55-64,BA,R,17,NO,NO,NO
ATT,45-75,0,55-64,HS,R,25,NO,NO,YES
ATT,25-35,0,55-64,>BA,P,14,NO,NO,YES
ATT,25-35,5,25-34,HS,F,12,NO,NO,NO
ATT,,0,25-34,HS,F,103,NO,NO,NO
OCC,,,65+,,R,8,NO,NO,NO
OCC,15-25,0,65+,HS,R,6,NO,NO,YES
ATT,45-75,0,65+,BA,R,17,NO,NO,YES
ATT,25-35,0,55-64,>BA,R,2,NO,NO,NO
OCC,25-35,0,25-34,BA,F,24,NO,NO,YES
ATT,35-45,0,45-54,HS,F,2,NO,NO,NO
OCC,35-45,>10,55-64,Coll,H,70,NO,NO,YES
ATT,45-75,0,65+,BA,R,11,NO,NO,YES
ATT,,0,65+,BA,R,14,NO,NO,YES
ATT,45-75,1,65+,Coll,R,4,NO,NO,NO
ATT,35-45,0,65+,Coll,R,1,NO,NO,NO
ATT,,0,65+,Coll,H,41,NO,YES,YES
OCC,7.5-15,0,55-64,<HS,F,26,YES,NO,NO
OCC,35-45,0,45-54,HS,F,2,NO,NO,NO
ATT,45-75,0,65+,>BA,R,12,NO,NO,YES
ATT,45-75,0,65+,HS,R,14,NO,NO,NO
OCC,>75,0,65+,>BA,R,5,NO,NO,YES
ATT,35-45,0,55-64,>BA,R,5,NO,NO,NO
OCC,,0,45-54,Voc,R,10,NO,NO,NO
OCC,7.5-15,1,65+,BA,R,3,NO,NO,NO
OCC,35-45,0,65+,>BA,R,5,NO,NO,NO
ATT,25-35,0,65+,HS,R,15,NO,NO,YES
ATT,15-25,0,65+,BA,R,12,NO,NO,YES
ATT,35-45,0,55-64,BA,P,8,NO,NO,NO
ATT,,0,65+,Coll,H,12,NO,NO,NO
ATT,,1,25-34,Coll,F,0,NO,NO,NO
ATT,,0,65+,BA,R,12,NO,NO,NO
ATT,>75,1,65+,Coll,R,19,NO,NO,YES
ATT,15-25,0,45-54,Coll,F,1,NO,NO,NO
ATT,,0,65+,Coll,R,0,YES,NO,NO
ATT,,0,65+,Coll,R,14,NO,NO,YES
ATT,7.5-15,0,25-34,HS,P,21,NO,YES,NO
ATT,35-45,0,65+,BA,R,11,NO,NO,YES
OCC,,0,55-64,HS,R,0,NO,NO,NO
ATT,45-75,0,55-64,Coll,F,15,NO,YES,NO
ATT,15-25,0,25-34,HS,F,18,YES,NO,YES
ATT,15-25,0,65+,BA,R,25,NO,YES,NO
ATT,,0,45-54,HS,F,120,NO,NO,NO
ATT,7.5-15,1,35-44,HS,F,1,NO,NO,NO
ATT,,1,65+,BA,R,61,NO,YES,NO
ATT,,0,25-34,Coll,S,42,NO,NO,NO
ATT,,0,,,,10,NO,NO,NO
OCC,25-35,0,55-64,BA,R,14,YES,NO,NO
ATT,45-75,0,65+,BA,R,0,NO,NO,NO
ATT,>75,3,45-54,>BA,F,53,NO,NO,YES
ATT,45-75,1,55-64,Coll,R,8,NO,NO,NO
ATT,,1,55-64,Coll,F,8,YES,NO,NO
ATT,,,,,,15,YES,NO,YES
ATT,15-25,0,25-34,BA,F,28,NO,NO,YES
OCC,35-45,1,35-44,BA,F,0,NO,YES,YES
ATT,,0,65+,HS,R,11,NO,NO,YES
ATT,,0,65+,HS,R,0,NO,NO,NO
OCC,35-45,2,25-34,Voc,H,4,NO,NO,YES
ATT,45-75,1,65+,BA,R,38,NO,YES,YES
OCC,25-35,1,55-64,Coll,R,28,NO,NO,YES
ATT,35-45,0,65+,BA,R,1,NO,YES,NO
ATT,,1,,,,24,NO,NO,NO
ATT,35-45,1,55-64,BA,H,24,NO,YES,YES
ATT,25-35,0,45-54,HS,P,31,NO,,NO
ATT,35-45,1,25-34,BA,H,15,NO,NO,NO
OCC,7.5-15,0,65+,HS,R,1,YES,NO,NO
ATT,,0,65+,BA,R,5,NO,NO,YES
ATT,15-25,2,65+,<HS,R,27,NO,NO,NO
ATT,35-45,0,25-34,BA,F,5,NO,NO,NO
OCC,15-25,1,45-54,HS,F,44,NO,NO,NO
ATT,15-25,1,25-34,Voc,F,2,YES,NO,YES
ATT,25-35,5,25-34,Coll,F,8,YES,NO,NO
OCC,15-25,0,45-54,<HS,H,3,YES,NO,NO
ATT,25-35,2,35-44,HS,F,13,NO,NO,YES
OCC,,,25-34,<HS,U,16,NO,NO,NO
OCC,15-25,2,25-34,HS,F,12,NO,NO,NO
OCC,25-35,2,35-44,HS,F,0,NO,,
ATT,35-45,5,18-24,BA,F,21,NO,NO,YES
OCC,<7.5,3,25-34,<HS,F,2,YES,NO,NO
ATT,25-35,3,25-34,HS,F,0,YES,NO,NO
ATT,7.5-15,2,18-24,HS,F,0,NO,NO,NO
ATT,<7.5,2,18-24,HS,U,2,YES,NO,YES
ATT,<7.5,4,25-34,<HS,U,0,YES,NO,NO
ATT,,0,,BA,F,26,YES,YES,NO
OCC,7.5-15,0,25-34,HS,F,0,YES,,
ATT,15-25,1,25-34,Coll,F,6,YES,NO,NO
OCC,25-35,1,25-34,Coll,F,129,NO,,
ATT,7.5-15,2,25-34,Coll,S,1,YES,NO,NO
OCC,7.5-15,2,25-34,HS,F,0,YES,NO,NO
ATT,,1,25-34,<HS,F,0,YES,NO,NO
OCC,7.5-15,3,35-44,HS,H,13,NO,NO,NO
ATT,25-35,1,25-34,HS,F,3,YES,NO,NO
OCC,25-35,1,35-44,Voc,F,2,NO,NO,NO
ATT,,0,55-64,<HS,H,34,YES,NO,YES
ATT,7.5-15,1,55-64,HS,R,15,NO,NO,YES
OCC,,1,35-44,<HS,H,2,YES,NO,NO
OCC,,2,,,,7,YES,NO,NO
OCC,35-45,1,35-44,BA,F,34,NO,NO,YES
OCC,35-45,0,35-44,HS,F,1,NO,NO,NO
OCC,,1,35-44,<HS,P,3,NO,NO,NO
OCC,15-25,4,18-24,Coll,F,29,NO,NO,NO
ATT,15-25,,25-34,<HS,F,0,NO,NO,NO
OCC,,0,35-44,BA,F,31,NO,YES,YES
ATT,>75,0,45-54,Coll,F,28,NO,YES,NO
OCC,<7.5,2,55-64,HS,R,33,YES,NO,NO
ATT,<7.5,0,45-54,BA,P,4,YES,NO,YES
ATT,35-45,2,35-44,Coll,F,22,YES,YES,YES
OCC,45-75,1,35-44,HS,F,0,NO,NO,YES
OCC,15-25,0,35-44,HS,F,1,NO,NO,NO
OCC,15-25,0,18-24,<HS,H,0,NO,NO,NO
OCC,7.5-15,0,35-44,BA,U,1,NO,NO,NO
ATT,<7.5,1,18-24,Coll,F,37,YES,NO,NO
OCC,25-35,1,25-34,Coll,F,7,YES,NO,NO
ATT,25-35,1,25-34,BA,F,8,NO,NO,NO
OCC,7.5-15,0,45-54,<HS,F,12,NO,NO,NO
